2021-07-02,Lettuce,285
2021-06-28,Lettuce,120
2021-06-21,Lettuce,83
2021-06-19,Lettuce,178
2021-06-17,Lettuce,280
2021-06-14,Lettuce,75
2021-06-06,Lettuce,210
2021-06-05,Lettuce,31
2021-05-29,Lettuce,34
2021-05-27,Lettuce,75
2021-05-23,Lettuce,86
2021-05-22,Lettuce,41
2021-05-16,Lettuce,33
2021-05-07,Lettuce,66
2021-05-20,Spinach,80
2021-05-16,Spinach,93
2021-05-11,Spinach,41
2021-07-22,Carrot,54
2021-07-08,Carrot,717
2021-07-02,Carrot,139
2021-08-19,Zucchini,140
2021-08-18,Zucchini,863
2021-08-11,Zucchini,718
2021-08-06,Zucchini,1530
2021-08-03,Zucchini,375
2021-08-01,Zucchini,1327
2021-07-27,Zucchini,726
2021-07-26,Zucchini,655
2021-07-22,Zucchini,313
2021-07-20,Zucchini,739
2021-07-18,Zucchini,458
2021-07-15,Zucchini,684
2021-07-12,Zucchini,450
2021-09-07,Potato,3440
2021-07-15,Potato,660
2021-08-11,Broccoli,375
2021-07-27,Broccoli,969
2021-08-23,Pole bean,62
2021-08-11,Pole bean,186
2021-10-06,Tomato,1325
2021-10-01,Tomato,455
2021-09-24,Tomato,1529
2021-09-18,Tomato,1248
2021-09-11,Tomato,700
2021-09-07,Tomato,264
2021-08-27,Tomato,445
2021-08-23,Tomato,1311
2021-08-19,Tomato,1880
2021-08-18,Tomato,728
2021-08-18,Tomato,920
2021-08-13,Tomato,405
2021-10-06,Pepper,311
2021-09-18,Pepper,250
2021-10-09,Sweet potato,3051
2021-10-13,Squash,4000
2021-10-14,Pepper,200
2021-10-17,Tomato,1500
2021-10-17,Carrot,200
2021-10-19,Pepper,75
2021-10-22,Squash,250
2021-10-22,Carrot,50
2021-12-03,Carrot,938
2022-07-02,Lettuce,285
2022-06-28,Lettuce,120
2022-06-21,Lettuce,83
2022-06-19,Lettuce,178
2022-06-17,Lettuce,280
2022-06-14,Lettuce,75
2022-06-06,Lettuce,210
2022-06-05,Lettuce,31
2022-05-29,Lettuce,34
2022-05-27,Lettuce,75
2022-05-23,Lettuce,86
2022-05-22,Lettuce,41
2022-05-16,Lettuce,33
2022-05-07,Lettuce,66
2022-05-20,Spinach,80
2022-05-16,Spinach,93
2022-05-11,Spinach,41
2022-07-22,Carrot,54
2022-07-08,Carrot,717
2022-07-02,Carrot,139
2022-08-19,Zucchini,140
2022-08-18,Zucchini,863
2022-08-11,Zucchini,718
2022-08-06,Zucchini,1530
2022-08-03,Zucchini,375
2022-08-01,Zucchini,1327
2022-07-27,Zucchini,726
2022-07-26,Zucchini,655
2022-07-22,Zucchini,313
2022-07-20,Zucchini,739
2022-07-18,Zucchini,458
2022-07-15,Zucchini,684
2022-07-12,Zucchini,450
2022-08-11,Broccoli,375
2022-07-27,Broccoli,969
2022-08-23,Pole bean,62
2022-08-11,Pole bean,186
2022-10-06,Tomato,1325
2022-10-01,Tomato,455
2022-09-24,Tomato,1529
2022-09-18,Tomato,1248
2022-09-11,Tomato,700
2022-09-07,Tomato,264
2022-08-27,Tomato,445
2022-08-23,Tomato,1311
2022-08-19,Tomato,1880
2022-08-18,Tomato,728
2022-08-18,Tomato,920
2022-08-13,Tomato,405
2022-10-06,Pepper,311
2022-09-18,Pepper,250
2022-10-13,Squash,4000
2022-10-14,Pepper,200
2022-10-17,Tomato,1500
2022-10-17,Carrot,200
2022-10-19,Pepper,75
2022-10-22,Squash,250
2022-10-22,Carrot,50
2022-12-03,Carrot,938
